epochs , trainloss , Train-acc,val_acc , test_acc 
0,0.6361145973205566,56.25,56.6,54.0
1,0.5598591566085815,75.0,63.0,61.8
2,0.5773589611053467,75.0,65.8,66.6
3,0.7598729729652405,53.125,70.8,69.6
4,0.556922972202301,68.75,71.6,71.0
5,0.7517238259315491,71.875,72.8,72.8
6,0.39470332860946655,93.75,77.8,76.0
7,0.45527276396751404,78.125,69.6,69.4
8,0.5001725554466248,75.0,76.6,77.6
9,0.5469652414321899,75.0,80.2,78.0
10,0.42294421792030334,78.125,78.8,77.4
11,0.500571608543396,71.875,78.2,77.6
12,0.3702184557914734,81.25,80.4,77.6
13,0.7265555262565613,71.875,80.8,82.0
14,0.34523749351501465,90.625,81.0,79.8
15,0.3306220769882202,84.375,82.4,78.2
16,0.35010313987731934,93.75,82.0,80.4
17,0.19866620004177094,93.75,82.2,81.4
18,0.36820700764656067,84.375,85.0,81.6
19,0.315887451171875,87.5,83.0,81.8
20,0.140643909573555,96.875,85.0,85.2
21,0.4163784384727478,84.375,83.2,81.0
22,0.23716628551483154,87.5,85.0,82.2
23,0.14584952592849731,96.875,82.4,83.0
24,0.2757149338722229,87.5,86.0,84.8
25,0.16179373860359192,96.875,82.8,83.2
26,0.1645599901676178,93.75,81.4,81.6
27,0.24204739928245544,87.5,86.0,84.0
28,0.08560188114643097,100.0,86.8,85.8
29,0.24609026312828064,84.375,83.8,83.6
